nome_tm,da_squadra,a_squadra,tipo,cambio_squadra,upgrade_squadra,tipo_prestito,coach_bonus,coach_style
Federico Croci,ACF Fiorentina,Fiorentina U17,definitivo,1,0,0,0.15,possesso
Nicolás Valentini,ACF Fiorentina,Alavés,definitivo,1,0,0,0.0,equilibrato
Lorenzo Amatucci,ACF Fiorentina,Dep. A Coruña,definitivo,1,0,0,0.0,equilibrato
Jonas Harder,ACF Fiorentina,Basilea,definitivo,1,0,0,0.0,equilibrato
Luis Balbo,ACF Fiorentina,Sturm Graz,definitivo,1,0,0,0.0,equilibrato
Riccardo Braschi,ACF Fiorentina,FC Thun,definitivo,1,0,0,0.0,equilibrato
Alessandro Bianco,ACF Fiorentina,Modena,definitivo,1,0,0,0.0,equilibrato
Lorenzo Lucchesi,ACF Fiorentina,Monza,definitivo,1,-1,0,0.05,equilibrato
Matías Moreno,ACF Fiorentina,Venezia,prestito,1,-1,1,0.0,equilibrato
Lucas Beltrán,ACF Fiorentina,River Plate,prestito,1,0,1,0.0,equilibrato
Filippo Distefano,ACF Fiorentina,Empoli,definitivo,1,-1,0,0.1,possesso
Abdelhamid Sabiri,ACF Fiorentina,Eyüpspor,definitivo,1,0,0,0.0,equilibrato
Tariq Lamptey,ACF Fiorentina,QPR,definitivo,1,0,0,0.0,equilibrato
Robin Gosens,ACF Fiorentina,Schalke 04,prestito,1,0,1,0.0,equilibrato
Leonardo Baroncelli,ACF Fiorentina,Gubbio,definitivo,1,0,0,0.0,equilibrato
